,strategy
2011-02-28,0.03940039250640405
2011-03-31,0.03333237038971278
2011-04-30,0.030286842576751013
2011-05-31,0.0019674812917774226
2011-06-30,0.002052472262592763
2011-07-31,-0.024792440258340962
2011-08-31,-0.03256114319281888
2011-09-30,-0.08283834562461367
2011-10-31,0.08444607592697584
2011-11-30,0.01826968672230483
2011-12-31,0.011232252126892793
2012-01-31,0.01280256247394451
2012-02-29,0.0345266444996842
2012-03-31,0.04010844374683769
2012-04-30,0.028188075192136126
2012-05-31,-0.02181806696220301
2012-06-30,0.019251581928916184
2012-07-31,0.012793469343097724
2012-08-31,-0.006863360838535393
2012-09-30,0.02328913305435101
2012-10-31,-0.00856692081960248
2012-11-30,0.02224960111542242
2012-12-31,0.013683115747180069
2013-01-31,0.06261732747307505
2013-02-28,0.015793340967833552
2013-03-31,0.04814455585936534
2013-04-30,0.022264106006326605
2013-05-31,0.011071296665295776
2013-06-30,-0.026480773903293137
2013-07-31,0.07049769377622422
2013-08-31,-0.009775208632329613
2013-09-30,0.0682390006455827
2013-10-31,0.046030113025987834
2013-11-30,0.04141594477363647
2013-12-31,0.03500607743776271
2014-01-31,-0.02720872312587943
2014-02-28,0.0653372236421996
2014-03-31,-0.013355242762654495
2014-04-30,-0.02383121526083235
2014-05-31,0.033809573665272735
2014-06-30,0.03175609924263323
2014-07-31,-0.014123384294407527
2014-08-31,0.057069454984634255
2014-09-30,-0.011980251163938398
2014-10-31,0.019671255761415155
2014-11-30,0.049702446737398764
2014-12-31,0.00790988528147643
2015-01-31,0.017912195916182327
2015-02-28,0.05064125737076705
2015-03-31,0.021662902547017072
2015-04-30,-0.042040780903907025
2015-05-31,0.06534781925881254
2015-06-30,0.004021969558109007
2015-07-31,0.026846429293648097
2015-08-31,-0.05187271155064818
2015-09-30,-0.002943468700935887
2015-10-31,0.052404461213932864
2015-11-30,0.010060207548385667
2015-12-31,-0.013260385621032043
2016-01-31,-0.03889768543514076
2016-02-29,-0.014153396478158144
2016-03-31,0.07041568158327217
2016-04-30,-0.02376888724383445
2016-05-31,0.03286602018003369
2016-06-30,0.05474445891575097
2016-07-31,0.009501270912594962
2016-08-31,-0.03091338519929806
2016-09-30,-0.005881740358791219
2016-10-31,-0.026178612523011884
2016-11-30,0.020349967505709582
2016-12-31,0.02704467615875381
2017-01-31,0.025067689680697426
2017-02-28,0.04141161320047264
2017-03-31,0.006726584340959888
2017-04-30,0.01667036557588151
2017-05-31,0.037960292931724635
2017-06-30,-0.012903641361694996
2017-07-31,0.041737622604779666
2017-08-31,0.012440947003625465
2017-09-30,0.020145629777506363
2017-10-31,0.06056012653839803
2017-11-30,0.03866919522894873
2017-12-31,-0.0148973606959763
2018-01-31,0.07999420093346536
2018-02-28,-0.02654311673204094
2018-03-31,-0.016697098110403784
2018-04-30,0.0002816693247832184
2018-05-31,0.054807490974411364
2018-06-30,-0.016961421009524667
2018-07-31,0.019518009309692753
2018-08-31,0.08138348593380276
2018-09-30,0.0012305041766489343
2018-10-31,-0.10392506547508341
2018-11-30,0.006835238570054768
2018-12-31,-0.07371582154288177
2019-01-31,0.06002727382891711
2019-02-28,0.05050660986794947
2019-03-31,0.03097064791926724
2019-04-30,-0.000270569769340562
2019-05-31,-0.008256078103525726
2019-06-30,0.053242972979639897
2019-07-31,0.014950213101810925
2019-08-31,0.03409800480683814
2019-09-30,-0.009372535895375426
2019-10-31,-0.013073952603481643
2019-11-30,0.005040315874746331
2019-12-31,0.014062536535315282
2020-01-31,0.04317727355573624
2020-02-29,-0.06683293333305786
2020-03-31,-0.1589523067611425
2020-04-30,0.10494251713780244
2020-05-31,0.07238448120846616
2020-06-30,0.034247717254553695
2020-07-31,0.0686519336438871
2020-08-31,0.038434633442747425
2020-09-30,-0.031748767970794914
2020-10-31,-0.03455397604711384
2020-11-30,0.11159733732337337
2020-12-31,0.03713127991573472
2021-01-31,0.006593289634033038
2021-02-28,0.03220040379714952
2021-03-31,-0.004324532882908178
2021-04-30,0.05189895046448775
2021-05-31,0.024167443282817353
2021-06-30,-0.00845276687264213
2021-07-31,0.010801802365976833
2021-08-31,0.03864295775881052
2021-09-30,-0.055326959350127346
2021-10-31,0.08235394649248441
2021-11-30,-0.02607378536634812
2021-12-31,0.04885764279937902
2022-01-31,-0.06172301808592139
2022-02-28,-0.0191225904221741
2022-03-31,0.05537414513974105
2022-04-30,-0.05604028896695051
2022-05-31,0.028930818848113764
2022-06-30,-0.08805002641732984
2022-07-31,0.041572473203569646
2022-08-31,0.006365573020927631
2022-09-30,-0.07550614924181048
2022-10-31,0.13163698369848223
2022-11-30,0.04011163786183079
2022-12-31,-0.03918178097722152
2023-01-31,-0.008711032392089611
2023-02-28,-0.012653643855618733
2023-03-31,0.018832505580873352
2023-04-30,0.02302562935033939
2023-05-31,-0.017465955496735772
2023-06-30,0.06944927838733769
2023-07-31,0.01904508401860297
2023-08-31,0.013526663569328148
2023-09-30,-0.04979670757174112
2023-10-31,-0.02865022985752292
2023-11-30,0.1043134671303824
2023-12-31,0.025663618092889837
2024-01-31,0.03994039326984572
2024-02-29,0.1238620789269148
2024-03-31,0.04308680028371973
2024-04-30,-0.035764479911766144
2024-05-31,0.05668798932456821
2024-06-30,0.0032924453892147825
2024-07-31,0.0011241652106923324
2024-08-31,0.04743925845847539
2024-09-30,0.027128228069803206
2024-10-31,0.014651599488095522
2024-11-30,0.11164178216878048
2024-12-31,-0.06254547939061178
2025-01-31,0.06592987284923933
2025-02-28,0.0034844556473454837
2025-03-31,-0.04044580316296553
2025-04-30,-0.011284101612313895
2025-05-31,0.03109008441384608
2025-06-30,0.02181446779999365
2025-07-31,0.014790415851872176
2025-08-31,0.008134083850262892
2025-09-30,0.03932502896966896
2025-10-31,-0.024006914946041402
2025-11-30,0.032754533497511236
2025-12-31,0.009131047848175259
