,strategy_gross
2011-02-28,0.05549234768058641
2011-03-31,0.04609477179321832
2011-04-30,0.002304866237815185
2011-05-31,-0.012015264078989566
2011-06-30,0.034667577023818216
2011-07-31,-0.04646645686968635
2011-08-31,-0.02801823429438568
2011-09-30,-0.07178409216659347
2011-10-31,0.09013437021006775
2011-11-30,0.01212926407487579
2011-12-31,-0.027503972571280524
2012-01-31,0.004769872337511538
2012-02-29,0.07089209580841528
2012-03-31,0.06450822854198916
2012-04-30,0.03692837066510979
2012-05-31,-0.0108563248128812
2012-06-30,-0.014457039285864483
2012-07-31,0.027642962633959437
2012-08-31,-0.005295337480983098
2012-09-30,0.02680555775084308
2012-10-31,-0.011811700874528526
2012-11-30,0.00912335489335322
2012-12-31,0.026418827159002494
2013-01-31,0.06780505052777458
2013-02-28,-0.009111882975955502
2013-03-31,0.047505047987982926
2013-04-30,-0.003542473103097389
2013-05-31,0.05149174563045784
2013-06-30,-0.06732413614694382
2013-07-31,0.11504367548879862
2013-08-31,0.056642167077376196
2013-09-30,0.08830223574849112
2013-10-31,0.009863684291799457
2013-11-30,0.025206965925513317
2013-12-31,0.015107432410459198
2014-01-31,-0.04126525851970997
2014-02-28,0.04414408003888746
2014-03-31,-0.034191184884822874
2014-04-30,-0.03321248744539883
2014-05-31,0.044692072867817886
2014-06-30,0.06523468797815908
2014-07-31,-0.018496619848003625
2014-08-31,0.0868980263759942
2014-09-30,-0.0014080041092244576
2014-10-31,-0.008660086587495942
2014-11-30,0.09830474769791674
2014-12-31,0.020423158799124187
2015-01-31,0.02320798986851375
2015-02-28,0.07207222520714573
2015-03-31,0.026249200714904296
2015-04-30,-0.07284143885422846
2015-05-31,0.11448343185098596
2015-06-30,0.030601519903692392
2015-07-31,0.007466559385607441
2015-08-31,-0.06867668796482221
2015-09-30,0.004947723318081354
2015-10-31,0.08681622372415908
2015-11-30,-0.010443294720877006
2015-12-31,-0.03534015663081609
2016-01-31,-0.08733268011190207
2016-02-29,-0.03307164980242294
2016-03-31,0.08049337974267182
2016-04-30,-0.044010042219791046
2016-05-31,0.01432383815438788
2016-06-30,0.07015505079922069
2016-07-31,0.022192906410810277
2016-08-31,-0.028195500775100562
2016-09-30,0.019603086235148937
2016-10-31,-0.03479980531289627
2016-11-30,0.08102251369790021
2016-12-31,0.05623065967391455
2017-01-31,0.0034375657429131746
2017-02-28,0.033784392139420964
2017-03-31,0.029337627237220006
2017-04-30,0.014613771896629655
2017-05-31,0.08990472710385351
2017-06-30,-0.04299039723913432
2017-07-31,0.04795744195254542
2017-08-31,0.0665838887853181
2017-09-30,0.04123051138053127
2017-10-31,0.1251899985194194
2017-11-30,0.03285897964314816
2017-12-31,-0.03369891673241565
2018-01-31,0.12118018853217537
2018-02-28,-0.06009436631278525
2018-03-31,-0.033624721154602646
2018-04-30,0.02241785228177095
2018-05-31,0.060982538651839446
2018-06-30,-0.00859232277113543
2018-07-31,0.02506559281813321
2018-08-31,0.14283671373138662
2018-09-30,-0.0126398080180712
2018-10-31,-0.16854099487946242
2018-11-30,-0.04995131984834032
2018-12-31,-0.0627285920108602
2019-01-31,0.027165061818516287
2019-02-28,0.05214020721005468
2019-03-31,0.020226299809163663
2019-04-30,-0.005632122946287242
2019-05-31,-0.01919288329055701
2019-06-30,0.06505115668544789
2019-07-31,0.03593964144634266
2019-08-31,0.050646341111173394
2019-09-30,-0.04379669312487277
2019-10-31,-0.021952611767276763
2019-11-30,0.003692203066718347
2019-12-31,0.0044096288513180365
2020-01-31,0.0022067587439149605
2020-02-29,-0.05900228751143235
2020-03-31,-0.16155540793371012
2020-04-30,0.12147544712053401
2020-05-31,0.07228466879869822
2020-06-30,0.06488076906370156
2020-07-31,0.15301377367125132
2020-08-31,0.13170254414064997
2020-09-30,-0.05567337381339361
2020-10-31,-0.06439513658382667
2020-11-30,0.219427999105571
2020-12-31,0.07302357867721544
2021-01-31,0.08426047134928352
2021-02-28,0.04822051711970062
2021-03-31,-0.07484749028937875
2021-04-30,0.04447421519606573
2021-05-31,0.013963936586822715
2021-06-30,-0.010351542167035665
2021-07-31,0.004438856685344929
2021-08-31,0.021169810220630348
2021-09-30,-0.06883230289803677
2021-10-31,0.09536548672250812
2021-11-30,-0.031110783035073034
2021-12-31,0.0318445990797522
2022-01-31,-0.055461173956210655
2022-02-28,0.019581553398870383
2022-03-31,0.049756472857252855
2022-04-30,-0.03884534906967625
2022-05-31,0.09828414774257552
2022-06-30,-0.13011084933566822
2022-07-31,0.06653606350550306
2022-08-31,0.015916259563937333
2022-09-30,-0.07914307895580744
2022-10-31,0.13770213386658697
2022-11-30,0.02618173388322525
2022-12-31,-0.03434380670075385
2023-01-31,0.0033482627936063476
2023-02-28,-0.05101905883024968
2023-03-31,0.04639439722921195
2023-04-30,0.023651888832449224
2023-05-31,0.10396339163446262
2023-06-30,0.045893233745992155
2023-07-31,0.051189000256953054
2023-08-31,-0.037108581041628716
2023-09-30,-0.07778645048430631
2023-10-31,-0.04262389985524142
2023-11-30,0.14044835994041593
2023-12-31,0.03260569169938723
2024-01-31,0.06761453765660674
2024-02-29,0.24133778902244674
2024-03-31,0.11676220344356311
2024-04-30,-0.03023689444523319
2024-05-31,0.11221084993808095
2024-06-30,-0.01147908354935028
2024-07-31,-0.06082886038058006
2024-08-31,0.08148421432649569
2024-09-30,0.059559194016290534
2024-10-31,0.0043060228164271686
2024-11-30,0.18944225706001436
2024-12-31,-0.09200316161906982
2025-01-31,0.11028196486175162
2025-02-28,-0.014553066768986956
2025-03-31,-0.0650068865006197
2025-04-30,0.04129988188263421
2025-05-31,0.044209452971036636
2025-06-30,0.03059691211180137
2025-07-31,0.023006704540067743
2025-08-31,-0.010733411772947545
2025-09-30,0.07942223671896892
2025-10-31,-0.005228520369457869
2025-11-30,-0.004472710004302485
2025-12-31,0.03782075617759377
