,strategy
2011-02-28,0.03890039250640405
2011-03-31,0.03307237038971278
2011-04-30,0.030026842576751013
2011-05-31,0.0016274812917774226
2011-06-30,0.0016524722625927632
2011-07-31,-0.025212440258340962
2011-08-31,-0.03284114319281888
2011-09-30,-0.08319834562461367
2011-10-31,0.08404607592697584
2011-11-30,0.01800968672230483
2011-12-31,0.010952252126892792
2012-01-31,0.01262256247394451
2012-02-29,0.0343066444996842
2012-03-31,0.03988844374683769
2012-04-30,0.027988075192136128
2012-05-31,-0.021938066962203007
2012-06-30,0.019111581928916183
2012-07-31,0.012493469343097724
2012-08-31,-0.0070633608385353925
2012-09-30,0.02302913305435101
2012-10-31,-0.00902692081960248
2012-11-30,0.022029601115422418
2012-12-31,0.013423115747180069
2013-01-31,0.062377327473075055
2013-02-28,0.015553340967833552
2013-03-31,0.047904555859365344
2013-04-30,0.021904106006326605
2013-05-31,0.010731296665295776
2013-06-30,-0.026920773903293137
2013-07-31,0.07011769377622422
2013-08-31,-0.010195208632329613
2013-09-30,0.06801900064558271
2013-10-31,0.04577011302598783
2013-11-30,0.04109594477363647
2013-12-31,0.03470607743776271
2014-01-31,-0.02750872312587943
2014-02-28,0.0650372236421996
2014-03-31,-0.013635242762654496
2014-04-30,-0.024071215260832352
2014-05-31,0.033449573665272736
2014-06-30,0.031496099242633226
2014-07-31,-0.014403384294407528
2014-08-31,0.056869454984634256
2014-09-30,-0.012280251163938398
2014-10-31,0.019511255761415155
2014-11-30,0.04946244673739877
2014-12-31,0.007669885281476429
2015-01-31,0.017772195916182325
2015-02-28,0.05014125737076705
2015-03-31,0.02134290254701707
2015-04-30,-0.042360780903907026
2015-05-31,0.06502781925881254
2015-06-30,0.0037419695581090073
2015-07-31,0.026566429293648098
2015-08-31,-0.05211271155064818
2015-09-30,-0.0032234687009358868
2015-10-31,0.05214446121393286
2015-11-30,0.009840207548385667
2015-12-31,-0.013460385621032044
2016-01-31,-0.039117685435140756
2016-02-29,-0.014433396478158144
2016-03-31,0.07005568158327218
2016-04-30,-0.02410888724383445
2016-05-31,0.032626020180033695
2016-06-30,0.05454445891575097
2016-07-31,0.009141270912594963
2016-08-31,-0.03113338519929806
2016-09-30,-0.006201740358791219
2016-10-31,-0.026578612523011885
2016-11-30,0.02012996750570958
2016-12-31,0.02666467615875381
2017-01-31,0.024587689680697425
2017-02-28,0.04105161320047264
2017-03-31,0.006406584340959888
2017-04-30,0.016450365575881507
2017-05-31,0.037620292931724635
2017-06-30,-0.013163641361694995
2017-07-31,0.041417622604779665
2017-08-31,0.012120947003625464
2017-09-30,0.019785629777506364
2017-10-31,0.06026012653839803
2017-11-30,0.038249195228948735
2017-12-31,-0.0152173606959763
2018-01-31,0.07969420093346537
2018-02-28,-0.02682311673204094
2018-03-31,-0.016997098110403785
2018-04-30,1.6693247832183728e-06
2018-05-31,0.054647490974411364
2018-06-30,-0.017261421009524668
2018-07-31,0.019218009309692752
2018-08-31,0.08120348593380276
2018-09-30,0.0009505041766489342
2018-10-31,-0.10414506547508341
2018-11-30,0.006495238570054768
2018-12-31,-0.07399582154288177
2019-01-31,0.059727273828917106
2019-02-28,0.05018660986794947
2019-03-31,0.03063064791926724
2019-04-30,-0.0005705697693405619
2019-05-31,-0.008496078103525727
2019-06-30,0.05298297297963989
2019-07-31,0.014690213101810925
2019-08-31,0.03391800480683814
2019-09-30,-0.009612535895375427
2019-10-31,-0.013333952603481643
2019-11-30,0.004700315874746331
2019-12-31,0.013742536535315281
2020-01-31,0.042677273555736236
2020-02-29,-0.06709293333305785
2020-03-31,-0.1592523067611425
2020-04-30,0.10452251713780243
2020-05-31,0.07202448120846616
2020-06-30,0.03394771725455369
2020-07-31,0.0684719336438871
2020-08-31,0.03819463344274743
2020-09-30,-0.03196876797079491
2020-10-31,-0.03477397604711384
2020-11-30,0.11139733732337337
2020-12-31,0.03687127991573472
2021-01-31,0.006413289634033039
2021-02-28,0.03186040379714952
2021-03-31,-0.004584532882908178
2021-04-30,0.05125895046448775
2021-05-31,0.023887443282817354
2021-06-30,-0.00865276687264213
2021-07-31,0.010541802365976833
2021-08-31,0.03836295775881052
2021-09-30,-0.05558695935012735
2021-10-31,0.08201394649248442
2021-11-30,-0.02641378536634812
2021-12-31,0.04857764279937902
2022-01-31,-0.062003018085921395
2022-02-28,-0.0194425904221741
2022-03-31,0.05489414513974105
2022-04-30,-0.05630028896695052
2022-05-31,0.028630818848113762
2022-06-30,-0.08837002641732984
2022-07-31,0.041232473203569646
2022-08-31,0.006145573020927632
2022-09-30,-0.07576614924181048
2022-10-31,0.13135698369848223
2022-11-30,0.03981163786183079
2022-12-31,-0.039581780977221516
2023-01-31,-0.008791032392089611
2023-02-28,-0.012913643855618733
2023-03-31,0.018552505580873353
2023-04-30,0.022805629350339387
2023-05-31,-0.017765955496735774
2023-06-30,0.0691892783873377
2023-07-31,0.01868508401860297
2023-08-31,0.013386663569328149
2023-09-30,-0.050096707571741124
2023-10-31,-0.02893022985752292
2023-11-30,0.1040334671303824
2023-12-31,0.025443618092889836
2024-01-31,0.03960039326984572
2024-02-29,0.1236420789269148
2024-03-31,0.04274680028371973
2024-04-30,-0.036044479911766146
2024-05-31,0.056407989324568204
2024-06-30,0.0029924453892147826
2024-07-31,0.0009441652106923324
2024-08-31,0.04721925845847539
2024-09-30,0.026768228069803206
2024-10-31,0.014391599488095522
2024-11-30,0.11134178216878049
2024-12-31,-0.06280547939061178
2025-01-31,0.06562987284923934
2025-02-28,0.003204455647345484
2025-03-31,-0.040725803162965535
2025-04-30,-0.011524101612313896
2025-05-31,0.03077008441384608
2025-06-30,0.02163446779999365
2025-07-31,0.014590415851872176
2025-08-31,0.007854083850262891
2025-09-30,0.03904502896966896
2025-10-31,-0.024346914946041402
2025-11-30,0.03239453349751124
2025-12-31,0.00877104784817526
